param,median,sd
precip,28.869583129882812,17.455124243826386
tmean,17.04166603088379,4.162498182117652
tmin,1.940000057220459,5.187039803455754
tmax,33.13999938964844,5.5541802858293154
latitude,33.8148106,2.0476241767477728
longitude,-115.7072163,3.523492977335438
