species,param,est,se
Verdin,(Intercept),-0.9275938075587906,0.042154145126866764
Verdin,precip,-0.08801653696899464,0.040752077355641875
Verdin,tmin,0.04089892176456102,0.10633570544483295
Verdin,tmean,0.03828313169911504,0.17240911079552432
Verdin,tmax,-0.03929685629131543,0.10047065977535362
Verdin,latitude,0.047318537414525984,0.03766135599402667
Verdin,latitude_sq,-0.03017972166432101,0.0160439762602138
Verdin,longitude,0.032711144719041296,0.03573306900955896
Verdin,elev,0.08996604947757182,0.07166362637654981
Verdin,elev_sq,-0.021291787941128355,0.030365741900960287
Verdin,precip:tmin,-0.036792598492734564,0.03274726705460157
Bells_Vireo,(Intercept),-1.93180697141879,0.06636232963822619
Bells_Vireo,precip,0.013891649152346378,0.06197366582482582
Bells_Vireo,tmin,-0.05429740582506534,0.16331493975379988
Bells_Vireo,tmean,0.11322480719839176,0.2649695328920365
Bells_Vireo,tmax,-0.1364232297444949,0.15406678595179632
Bells_Vireo,latitude,0.014446358524836308,0.058094981653781075
Bells_Vireo,latitude_sq,-0.009637489026670507,0.024576877274748155
Bells_Vireo,longitude,0.01277666992623837,0.05500865069261651
Bells_Vireo,elev,0.07479427210485849,0.10999529016147892
Bells_Vireo,elev_sq,-0.015476002510166792,0.04691770598220838
Bells_Vireo,precip:tmin,0.08125678249561016,0.05052723717638216
Black-tailed_Gnatcatcher,(Intercept),-1.7278292598694114,0.05937401176603349
Black-tailed_Gnatcatcher,precip,-0.0692581339057901,0.05587783411826085
Black-tailed_Gnatcatcher,tmin,-0.052680370123160666,0.1464452441243986
Black-tailed_Gnatcatcher,tmean,0.21506725752008019,0.2384047258388832
Black-tailed_Gnatcatcher,tmax,-0.1676115581124442,0.13924010343360027
Black-tailed_Gnatcatcher,latitude,0.07613983936591631,0.05203940348726671
Black-tailed_Gnatcatcher,latitude_sq,-0.0585765704972813,0.022131304914013442
Black-tailed_Gnatcatcher,longitude,0.044576517149333854,0.04878612839692833
Black-tailed_Gnatcatcher,elev,0.16608162397942422,0.0983271264375301
Black-tailed_Gnatcatcher,elev_sq,0.007577346996670163,0.04146907571029704
Black-tailed_Gnatcatcher,precip:tmin,0.04048669058419769,0.044899673589761956
Crissal_Thrasher,(Intercept),-2.6019253575687764,0.10538672505459058
Crissal_Thrasher,precip,-0.06854275694007636,0.09604568878942617
Crissal_Thrasher,tmin,-0.23998851763851084,0.24740976572614048
Crissal_Thrasher,tmean,0.43276572011320996,0.40451239583011506
Crissal_Thrasher,tmax,-0.26676421358875096,0.23637718567527283
Crissal_Thrasher,latitude,0.04965006648904986,0.08744057758976337
Crissal_Thrasher,latitude_sq,-0.01553701051516008,0.03704514715062885
Crissal_Thrasher,longitude,-0.028589907175106306,0.08249135581838976
Crissal_Thrasher,elev,0.11554646138767986,0.16813806321699992
Crissal_Thrasher,elev_sq,-0.0688619192201876,0.07115116387327584
Crissal_Thrasher,precip:tmin,-0.08751316733838457,0.07656037549948068
